date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:07	33004/33004	U-----	200	untouched ('')	application/x-font-woff	etag:W/%220099827a5eaf8e38a2fe7e2486abd84b-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/6f8d1983-4d34-4fa4-9110-988f6c495757.woff	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/6f8d1983-4d34-4fa4-9110-988f6c495757.woff	(from https://www.tmax.co.kr/)
21:49:07	78472/78472	U-----	200	untouched ('')	application/x-font-ttf	etag:%22abceebc3d47ae676e79b96ade6903e7e-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/7903ee3f-e9ab-4bdc-b7d2-d232de2da580.ttf	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/7903ee3f-e9ab-4bdc-b7d2-d232de2da580.ttf	(from https://www.tmax.co.kr/)
21:49:07	80261/80261	U-----	200	untouched ('OK')	image/svg+xml	etag:%229f992ec7254a0e09e5fde0440be76a5b-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/9c58e9ea-fdea-4b9c-b0f9-0a2157389ed0.svg	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/9c58e9ea-fdea-4b9c-b0f9-0a2157389ed0.svg	(from https://www.tmax.co.kr/)
21:49:08	12176/12176	---M--	200	added ('OK')	font/woff2	date:Wed,%2011%20Oct%202017%2018:22:27%20GMT	http://fonts.gstatic.com/s/poppins/v5/c4FPK8_hIFKoX59qcGwdChUOjZSKWg4xBWp_C_qQx0o.woff2	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/c4FPK8_hIFKoX59qcGwdChUOjZSKWg4xBWp_C_qQx0o.woff2	(from https://www.tmax.co.kr/)
21:49:08	13628/13628	---M--	200	added ('OK')	font/eot	date:Wed,%2011%20Oct%202017%2018:22:29%20GMT	http://fonts.gstatic.com/s/poppins/v5/c4FPK8_hIFKoX59qcGwdCqlSqKUsDpiXlwfj-ZM2w_A.eot?	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/c4FPK8_hIFKoX59qcGwdCqlSqKUsDpiXlwfj-ZM2w_Ad41d.eot	(from https://www.tmax.co.kr/)
21:49:08	35214/35214	U-----	200	untouched ('')	font/eot	date:Tue,%2010%20Oct%202017%2023:12:20%20GMT	http://fonts.gstatic.com/s/worksans/v3/z9rX03Xuz9ZNHTMg1_ghGalSqKUsDpiXlwfj-ZM2w_A.eot?	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/worksans/v3/z9rX03Xuz9ZNHTMg1_ghGalSqKUsDpiXlwfj-ZM2w_Ad41d.eot	(from https://www.tmax.co.kr/)
21:49:08	30000/30000	U-----	200	untouched ('')	font/woff2	date:Tue,%2010%20Oct%202017%2023:12:19%20GMT	http://fonts.gstatic.com/s/worksans/v3/z9rX03Xuz9ZNHTMg1_ghGRUOjZSKWg4xBWp_C_qQx0o.woff2	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/worksans/v3/z9rX03Xuz9ZNHTMg1_ghGRUOjZSKWg4xBWp_C_qQx0o.woff2	(from https://www.tmax.co.kr/)
21:49:09	37220/37220	U-----	200	untouched ('')	font/woff	date:Tue,%2010%20Oct%202017%2023:12:19%20GMT	http://fonts.gstatic.com/s/worksans/v3/z9rX03Xuz9ZNHTMg1_ghGRa1RVmPjeKy21_GQJaLlJI.woff	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/worksans/v3/z9rX03Xuz9ZNHTMg1_ghGRa1RVmPjeKy21_GQJaLlJI.woff	(from https://www.tmax.co.kr/)
21:49:09	75248/75248	U-----	200	untouched ('')	font/ttf	date:Tue,%2010%20Oct%202017%2023:12:18%20GMT	http://fonts.gstatic.com/s/worksans/v3/z9rX03Xuz9ZNHTMg1_ghGdqQynqKV_9Plp7mupa0S4g.ttf	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/worksans/v3/z9rX03Xuz9ZNHTMg1_ghGdqQynqKV_9Plp7mupa0S4g.ttf	(from https://www.tmax.co.kr/)
21:49:09	6116/6116	---M--	200	added ('OK')	font/woff2	date:Tue,%2008%20Oct%202019%2021:22:13%20GMT	https://fonts.gstatic.com/s/poppins/v9/pxiGyp8kv8JHgFVrJJLufntAOvWDSHFF.woff2	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v9/pxiGyp8kv8JHgFVrJJLufntAOvWDSHFF.woff2	(from https://www.tmax.co.kr/)
